County,state,per_capita_2018,per_capita_2019,per_capita_2020,rank_state_per_capita_2020,pct_change_2019,pct_change_2020,rank_state_pct_change_2020
Autauga,Alabama,42931,44368,46814,9.0,3.3,5.5,50.0
Baldwin,Alabama,46905,48270,50953,4.0,2.9,5.6,48.0
Barbour,Alabama,34064,35572,37850,49.0,4.4,6.4,35.0
Bibb,Alabama,30250,31540,34300,66.0,4.3,8.8,14.0
Blount,Alabama,35905,36969,38808,36.0,3,5,59.0
Bullock,Alabama,26841,28136,31944,67.0,4.8,13.5,1.0
Butler,Alabama,35932,38073,39988,34.0,6,5,56.0
Calhoun,Alabama,36482,37708,40195,30.0,3.4,6.6,32.0
Chambers,Alabama,34055,36110,38508,38.0,6,6.6,31.0
Cherokee,Alabama,35647,36381,37869,48.0,2.1,4.1,62.0
Chilton,Alabama,34982,36471,38778,37.0,4.3,6.3,37.0
Choctaw,Alabama,38200,39097,42231,22.0,2.3,8,20.0
Clarke,Alabama,35437,37061,40822,26.0,4.6,10.1,8.0
Clay,Alabama,33131,34185,37179,53.0,3.2,8.8,13.0
Cleburne,Alabama,35668,35905,37734,51.0,0.7,5.1,54.0
Coffee,Alabama,42176,43319,45262,11.0,2.7,4.5,60.0
Colbert,Alabama,37601,38860,41941,23.0,3.3,7.9,21.0
Conecuh,Alabama,32588,33596,36908,56.0,3.1,9.9,10.0
Coosa,Alabama,31344,32548,34683,65.0,3.8,6.6,34.0
Covington,Alabama,35487,35927,37930,47.0,1.2,5.6,47.0
Crenshaw,Alabama,36283,36783,38161,44.0,1.4,3.7,64.0
Cullman,Alabama,39525,41211,42659,20.0,4.3,3.5,65.0
Dale,Alabama,36497,37831,40111,31.0,3.7,6,41.0
Dallas,Alabama,34915,37033,41195,24.0,6.1,11.2,4.0
DeKalb,Alabama,32196,33427,35100,64.0,3.8,5,58.0
Elmore,Alabama,42956,44561,47270,7.0,3.7,6.1,40.0
Escambia,Alabama,32445,34338,37137,55.0,5.8,8.2,17.0
Etowah,Alabama,36583,37700,39852,35.0,3.1,5.7,45.0
Fayette,Alabama,34231,35856,38001,46.0,4.7,6,43.0
Franklin,Alabama,33951,34831,37362,52.0,2.6,7.3,25.0
Geneva,Alabama,34708,36455,38358,40.0,5,5.2,53.0
Greene,Alabama,30762,32534,35992,61.0,5.8,10.6,6.0
Hale,Alabama,35615,37825,41190,25.0,6.2,8.9,11.0
Henry,Alabama,42010,43738,45409,10.0,4.1,3.8,63.0
Houston,Alabama,42611,44300,47072,8.0,4,6.3,39.0
Jackson,Alabama,36672,38002,40089,32.0,3.6,5.5,51.0
Jefferson,Alabama,54777,56599,58424,2.0,3.3,3.2,66.0
Lamar,Alabama,33022,34549,37161,54.0,4.6,7.6,23.0
Lauderdale,Alabama,36712,38135,40729,27.0,3.9,6.8,29.0
Lawrence,Alabama,33900,35414,38098,45.0,4.5,7.6,22.0
Lee,Alabama,38184,40439,42468,21.0,5.9,5,57.0
Limestone,Alabama,43495,44841,47695,6.0,3.1,6.4,36.0
Lowndes,Alabama,39544,41449,44921,13.0,4.8,8.4,16.0
Macon,Alabama,32321,34213,37834,50.0,5.9,10.6,7.0
Madison,Alabama,51759,54169,57128,3.0,4.7,5.5,52.0
Marengo,Alabama,39217,40297,43854,16.0,2.8,8.8,12.0
Marion,Alabama,32459,33433,36330,59.0,3,8.7,15.0
Marshall,Alabama,35990,37913,40045,33.0,5.3,5.6,46.0
Mobile,Alabama,38195,40003,42823,19.0,4.7,7,28.0
Monroe,Alabama,32808,34489,38192,43.0,5.1,10.7,5.0
Montgomery,Alabama,43442,44597,47776,5.0,2.7,7.1,27.0
Morgan,Alabama,39908,41895,44679,14.0,5,6.6,30.0
Perry,Alabama,30795,32198,36217,60.0,4.6,12.5,3.0
Pickens,Alabama,32981,34590,36861,57.0,4.9,6.6,33.0
Pike,Alabama,36785,38057,40342,29.0,3.5,6,42.0
Randolph,Alabama,32974,33708,35208,63.0,2.2,4.4,61.0
Russell,Alabama,32270,33796,36526,58.0,4.7,8.1,19.0
St. Clair,Alabama,39658,41015,43279,17.0,3.4,5.5,49.0
Shelby,Alabama,55482,57793,59588,1.0,4.2,3.1,67.0
Sumter,Alabama,30492,32057,35310,62.0,5.1,10.1,9.0
Talladega,Alabama,34277,35717,38300,41.0,4.2,7.2,26.0
Tallapoosa,Alabama,40576,42544,45058,12.0,4.9,5.9,44.0
Tuscaloosa,Alabama,39062,40329,42868,18.0,3.2,6.3,38.0
Walker,Alabama,40267,41976,44095,15.0,4.2,5,55.0
Washington,Alabama,36196,37568,40371,28.0,3.8,7.5,24.0
Wilcox,Alabama,32406,33957,38273,42.0,4.8,12.7,2.0
Winston,Alabama,34143,35508,38382,39.0,4,8.1,18.0
Aleutians East Borough,Alaska,56806,61132,59574,20.0,7.6,-2.5,25.0
Aleutians West Census Area,Alaska,55124,56296,59674,19.0,2.1,6,2.0
Anchorage Municipality,Alaska,66928,68803,70477,8.0,2.8,2.4,15.0
Bethel Census Area,Alaska,44902,45653,47936,29.0,1.7,5,7.0
Bristol Bay Borough,Alaska,141017,145276,152678,1.0,3,5.1,6.0
Denali Borough,Alaska,85673,82610,72967,4.0,-3.6,-11.7,27.0
Dillingham Census Area,Alaska,58932,60868,60792,18.0,3.3,-0.1,19.0
Fairbanks North Star Borough,Alaska,56888,59194,62254,17.0,4.1,5.2,5.0
Haines Borough,Alaska,70233,70724,64956,13.0,0.7,-8.2,26.0
